날짜,시가,고가,저가,종가,거래량,등락률,ticker,name
2023-02-28,62000,63400,61900,62400,1870108,0.807754443,35720,카카오
2023-03-02,62200,62400,60800,61200,1842975,-1.923076923,35720,카카오
2023-03-03,61600,62200,60900,61000,1250945,-0.326797386,35720,카카오
2023-03-06,61200,63800,61100,63600,2768767,4.262295082,35720,카카오
2023-03-07,63000,63100,61400,61500,2322926,-3.301886792,35720,카카오
2023-03-08,61200,61200,59000,59100,2935338,-3.902439024,35720,카카오
2023-03-09,59700,60600,58900,59000,1949722,-0.169204738,35720,카카오
2023-03-10,57900,58400,57500,58100,2009728,-1.525423729,35720,카카오
2023-03-13,60300,62400,58800,60800,5720123,4.647160069,35720,카카오
2023-03-14,60600,61100,59200,59400,2192551,-2.302631579,35720,카카오
2023-03-15,60600,60800,58800,59300,1885060,-0.168350168,35720,카카오
2023-03-16,58400,60300,58100,59900,1976894,1.011804384,35720,카카오
2023-03-17,60600,61200,59800,60200,1658486,0.500834725,35720,카카오
2023-03-20,60200,62000,60200,61000,2051491,1.328903654,35720,카카오
2023-03-21,61400,61700,60500,60900,1093952,-0.163934426,35720,카카오
2023-03-22,61700,62900,61300,62700,2243729,2.955665025,35720,카카오
2023-03-23,61800,62000,60800,61600,1685484,-1.754385965,35720,카카오
2023-03-24,61600,61900,60900,61400,1323550,-0.324675325,35720,카카오
2023-03-27,61500,61800,59800,60700,1490567,-1.140065147,35720,카카오
2023-03-28,60600,61000,59900,60700,1326335,0,35720,카카오
2023-03-29,60800,61400,60100,60400,1144119,-0.494233937,35720,카카오
2023-03-30,60800,60900,59900,60100,1707493,-0.496688742,35720,카카오
2023-03-31,60600,61200,60000,61100,1745559,1.663893511,35720,카카오
2023-04-03,61400,61600,59900,60200,1683150,-1.47299509,35720,카카오
2023-04-04,60200,60800,59800,60700,1380518,0.830564784,35720,카카오
2023-04-05,60500,61200,60200,60500,1227329,-0.329489292,35720,카카오
2023-04-06,60100,60100,58500,58600,2659408,-3.140495868,35720,카카오
2023-04-07,58600,59200,58100,58600,1650319,0,35720,카카오
2023-04-10,58300,58400,57100,58100,2103339,-0.853242321,35720,카카오
2023-04-11,58100,60000,57500,59300,2184527,2.065404475,35720,카카오
2023-04-12,59200,59300,58500,58700,1486194,-1.011804384,35720,카카오
2023-04-13,58500,59600,58400,59500,1591961,1.36286201,35720,카카오
2023-04-14,60100,61000,59400,60500,2464952,1.680672269,35720,카카오
2023-04-17,60200,60700,59600,60100,1450046,-0.661157025,35720,카카오
2023-04-18,60200,60800,58900,59000,1731564,-1.830282862,35720,카카오
2023-04-19,59000,59100,58500,58600,1086274,-0.677966102,35720,카카오
2023-04-20,58500,58700,57800,57900,1342600,-1.194539249,35720,카카오
2023-04-21,57700,58200,57200,57900,1212125,0,35720,카카오
2023-04-24,57300,57800,57100,57200,961915,-1.208981002,35720,카카오
2023-04-25,57000,57900,55700,56000,1791028,-2.097902098,35720,카카오
2023-04-26,55600,57200,55600,56500,1452179,0.892857143,35720,카카오
2023-04-27,56200,56300,55300,55800,1311670,-1.238938053,35720,카카오
2023-04-28,56400,59100,56300,58100,3124682,4.121863799,35720,카카오
2023-05-02,58200,58600,57700,58500,1124552,0.688468158,35720,카카오
2023-05-03,58000,58900,57800,58300,1047114,-0.341880342,35720,카카오
2023-05-04,57200,57500,56000,57200,2288474,-1.886792453,35720,카카오
2023-05-08,57500,58200,57100,57700,1821528,0.874125874,35720,카카오
2023-05-09,57800,58700,57300,57500,1412568,-0.346620451,35720,카카오
2023-05-10,57100,57300,56300,56500,1364811,-1.739130435,35720,카카오
2023-05-11,56400,57100,56000,56000,1190339,-0.884955752,35720,카카오
2023-05-12,56200,57200,55600,56600,1236080,1.071428571,35720,카카오
2023-05-15,56500,57000,56100,56800,879909,0.35335689,35720,카카오
2023-05-16,56700,57400,56000,56100,922948,-1.232394366,35720,카카오
2023-05-17,55900,58800,55600,57700,2035175,2.852049911,35720,카카오
2023-05-18,58200,58400,56800,57200,1112295,-0.866551127,35720,카카오
2023-05-19,57400,58200,57200,57900,1375866,1.223776224,35720,카카오
2023-05-22,57900,58100,57600,57900,985462,0,35720,카카오
2023-05-23,58100,58200,57600,58000,1015317,0.172711572,35720,카카오
2023-05-24,57500,57600,56700,56800,1258754,-2.068965517,35720,카카오
2023-05-25,56600,57000,56300,56700,1177829,-0.176056338,35720,카카오
2023-05-26,56400,57000,56400,56600,709988,-0.176366843,35720,카카오
2023-05-30,57000,57100,56400,56800,1155964,0.35335689,35720,카카오
2023-05-31,56500,56900,56100,56200,1992398,-1.056338028,35720,카카오
2023-06-01,56300,56600,56000,56100,1004709,-0.177935943,35720,카카오
2023-06-02,56300,57500,56000,57200,1677624,1.960784314,35720,카카오
2023-06-05,57600,57900,57000,57100,1035494,-0.174825175,35720,카카오
2023-06-07,57700,58000,57300,57400,1012086,0.525394046,35720,카카오
2023-06-08,57000,57000,56300,56500,1734613,-1.567944251,35720,카카오
2023-06-09,56800,57200,56300,56400,1732451,-0.17699115,35720,카카오
2023-06-12,56900,57200,56400,56600,867990,0.354609929,35720,카카오
2023-06-13,57000,57100,56200,56400,1101921,-0.35335689,35720,카카오
2023-06-14,56400,56600,55300,55700,2051297,-1.241134752,35720,카카오
2023-06-15,55700,56100,53700,53900,2719928,-3.231597846,35720,카카오
2023-06-16,54300,54600,53400,53600,1745708,-0.556586271,35720,카카오
2023-06-19,53400,53400,52000,52500,2131119,-2.052238806,35720,카카오
2023-06-20,52400,52900,51500,51700,1767021,-1.523809524,35720,카카오
2023-06-21,51700,52000,50300,50500,2027881,-2.321083172,35720,카카오
2023-06-22,50200,51100,50100,50300,1336297,-0.396039604,35720,카카오
2023-06-23,50200,50500,49550,49700,1755166,-1.192842942,35720,카카오
2023-06-26,49000,50300,48600,50000,1872956,0.60362173,35720,카카오
2023-06-27,50000,50100,49350,49350,1333727,-1.3,35720,카카오
2023-06-28,49700,49750,48500,49000,1659730,-0.709219858,35720,카카오
2023-06-29,49000,49800,48700,49000,1287518,0,35720,카카오
2023-06-30,48850,49700,48400,49100,1268925,0.204081633,35720,카카오
2023-07-03,49300,51000,49300,51000,1691513,3.869653768,35720,카카오
2023-07-04,50900,51000,49900,49950,1445459,-2.058823529,35720,카카오
2023-07-05,49950,50400,48800,48850,2700066,-2.202202202,35720,카카오
2023-07-06,48850,51500,48700,50900,3139685,4.196519959,35720,카카오
2023-07-07,50600,51200,49750,49850,1974639,-2.062868369,35720,카카오
2023-07-10,49850,50300,49450,49850,1068139,0,35720,카카오
2023-07-11,50100,51000,50000,50700,1212718,1.705115346,35720,카카오
2023-07-12,50700,51800,50200,51600,1658795,1.775147929,35720,카카오
2023-07-13,52000,52600,51700,51900,1955527,0.581395349,35720,카카오
2023-07-14,52300,52800,51600,52800,1900674,1.734104046,35720,카카오
2023-07-17,52400,53200,52200,52700,1411212,-0.189393939,35720,카카오
2023-07-18,52700,52700,51400,51800,1486148,-1.707779886,35720,카카오
2023-07-19,51800,51800,50100,50400,1674191,-2.702702703,35720,카카오
2023-07-20,50100,51100,50100,50500,1150775,0.198412698,35720,카카오
2023-07-21,50000,50800,49750,50600,1203404,0.198019802,35720,카카오
2023-07-24,50100,50300,49400,49850,1943708,-1.482213439,35720,카카오
2023-07-25,49600,49800,48800,48850,1788062,-2.006018054,35720,카카오
