종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","벤처기업부","1830","-32","-1.72","1859","1869","1818","267776","490953106","97098043200","53059040"
"095570","AJ네트웍스","KOSPI",,"4275","-50","-1.16","4305","4305","4200","301081","1277728153","193455544725","45252759"
"006840","AK홀딩스","KOSPI",,"10380","30","0.29","10450","10450","10250","14396","148667950","137509683180","13247561"
"054620","APS","KOSDAQ","중견기업부","4515","45","1.01","4535","4535","4430","12119","54175480","89822407815","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","18310","-610","-3.22","18870","18960","18130","147642","2717587640","275580532510","15050821"
"211270","AP위성","KOSDAQ","우량기업부","12080","-290","-2.34","12500","12500","12000","44391","539939535","182194232320","15082304"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3855","-60","-1.53","3915","3940","3845","131896","511089230","368988229305","95716791"
"282330","BGF리테일","KOSPI",,"106700","-1700","-1.57","107500","107700","105900","47620","5078702850","1844192770200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","2900","-40","-1.36","2960","2960","2850","63065","181949600","182024007100","62766899"
"138930","BNK금융지주","KOSPI",,"14430","-80","-0.55","14370","14450","14250","656130","9430808860","4537154972220","314425154"
"001460","BYC","KOSPI",,"38700","-550","-1.40","39900","39900","38300","2214","85726500","241726005000","6246150"
"001465","BYC우","KOSPI",,"24750","-100","-0.40","24700","24850","24000","1367","33609750","53307787500","2153850"
"083790","CG인바이츠","KOSDAQ","벤처기업부","1672","-13","-0.77","1700","1700","1649","100600","167281736","128567072304","76894182"
"001040","CJ","KOSPI",,"181000","-3000","-1.63","185700","186000","179100","128047","23327894300","5281036638000","29176998"
"079160","CJ CGV","KOSPI",,"4870","-125","-2.50","5000","5020","4800","648947","3163228644","806380614450","165581235"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","74000","-1500","-1.99","75500","76400","73700","51143","3807401150","1622757396000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","9820","-160","-1.60","10030","10030","9740","18743","184312240","128302836840","13065462"
"00104K","CJ4우(전환)","KOSPI",,"152300","-2500","-1.61","154500","154800","149400","13493","2045358500","643697777600","4226512"
"000120","CJ대한통운","KOSPI",,"82300","-700","-0.84","82700","83200","82000","41815","3448853050","1877455911200","22812344"
"011150","CJ씨푸드","KOSPI",,"2795","-30","-1.06","2815","2845","2785","168173","471182113","100426510535","35930773"
"011155","CJ씨푸드1우","KOSPI",,"16610","0","0.00","16420","16610","16420","186","3085520","3322000000","200000"
"001045","CJ우","KOSPI",,"96100","-2100","-2.14","98300","101200","94100","10187","976113650","217207430300","2260223"
"097950","CJ제일제당","KOSPI",,"230500","-3500","-1.50","233000","233500","230000","61198","14118375250","3469989873000","15054186"
"097955","CJ제일제당 우","KOSPI",,"138200","-1500","-1.07","139700","139700","138000","5664","783823300","183451240600","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","27900","-400","-1.41","28200","28600","27900","23285","656206600","331217249400","11871586"
"058820","CMG제약","KOSDAQ","중견기업부","1839","-21","-1.13","1860","1868","1832","341605","630841172","271574635791","147675169"
"056730","CNT85","KOSDAQ","벤처기업부","725","-5","-0.68","728","733","708","2666","1918190","53730609850","74111186"
"000480","CR홀딩스","KOSPI",,"4800","-70","-1.44","4845","4870","4790","181175","874698547","225074352000","46890490"
"065770","CS","KOSDAQ","벤처기업부","921","-30","-3.15","954","956","905","109623","102748379","17877650730","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","807","-46","-5.39","830","839","788","808002","651203610","49426475067","61247181"
